semantic_type,emissions_over_evaluation_horizon
UnscaledValue,83608
NoEstablishedBaseline,82935
InternalBookEntry,34050
RecentlyCreatedRelationship,30928
NonInformativeNovelty,28845
CrossJurisdictionTransfer,21030
TempoRegime,17065
ValueRegime,16392
RoutineValueTransfer,13553
CashInstrumentSettlement,7407
CounterpartyRegime,7355
DistributionNode,6820
NormalOperationalBurst,6730
FirstContact,3518
HighRiskJurisdictionExposure,2697
EstablishedRelationship,2659
VirtualAssetExposure,2593
ExpectedHighValueTransfer,2473
CurrencyConversionTransfer,1047
IntraCustomerTransfer,1037
UnexpectedLargeTransfer,366
BehaviourRegimeShift,312
PassThroughAccount,114
LayeringChainSegment,1
