model,rank,feature,group,mean_abs_shap
semantic,1,sem_EstablishedRelationship,context,2.42601938
semantic,2,sem_ValueRegime,context,0.61061753
semantic,3,sem_NonInformativeNovelty,context,0.56027256
semantic,4,lifecycle_age_minutes,lifecycle,0.34499277
semantic,5,lifecycle_idle_minutes,lifecycle,0.33289637
semantic,6,sem_CrossJurisdictionTransfer,context,0.29591663
semantic,7,lifecycle_buckets_active,lifecycle,0.23873958
semantic,8,evidence_mitigation_count,evidence,0.22496434
semantic,9,sem_RoutineValueTransfer,context,0.20409036
semantic,10,sem_TempoRegime,context,0.16975859
semantic,11,role_tenure_minutes,role,0.16366044
semantic,12,sem_CashInstrumentSettlement,context,0.16288673
semantic,13,role_transition_count,role,0.15339792
semantic,14,beh_SupplierSettlementBehaviour,behaviour,0.15150036
semantic,15,evidence_effective_risk,evidence,0.14875165
semantic,16,beh_RelationshipCollapseBehaviour,behaviour,0.14156322
semantic,17,sem_CounterpartyRegime,context,0.14101642
semantic,18,role_confidence,role,0.12517926
semantic,19,sem_BehaviourRegimeShift,context,0.11907413
semantic,20,sem_FirstContact,context,0.10742669
semantic,21,lifecycle_observed_events,lifecycle,0.08446391
semantic,22,sem_ExpectedHighValueTransfer,context,0.08247932
semantic,23,lifecycle_distinct_counterparties,lifecycle,0.08230560
semantic,24,role_code,role,0.07957023
semantic,25,evidence_risk_count,evidence,0.06466499
semantic,26,beh_DistributionBehaviour,behaviour,0.06236791
semantic,27,evidence_strongest_risk,evidence,0.06157644
semantic,28,lifecycle_horizons_filled,lifecycle,0.06055591
semantic,29,beh_CashConcentrationBehaviour,behaviour,0.05046318
semantic,30,evidence_conflict_count,evidence,0.04840673
semantic,31,evidence_unqualified_topics,evidence,0.04523144
semantic,32,sem_DistributionNode,context,0.04436909
semantic,33,sem_CurrencyConversionTransfer,context,0.04017063
semantic,34,beh_UnexpectedBusinessCycle,behaviour,0.03764346
semantic,35,scn_NormalConsumerBehaviour,scenario,0.03630308
semantic,36,beh_MoneyAccumulationBehaviour,behaviour,0.03333632
semantic,37,sem_InternalBookEntry,context,0.03276030
semantic,38,beh_RapidLayeringBehaviour,behaviour,0.02869781
semantic,39,beh_ExpectedBusinessCycle,behaviour,0.02511607
semantic,40,sem_UnscaledValue,context,0.02377148
semantic,41,sem_NormalOperationalBurst,context,0.01922904
semantic,42,beh_PassThroughBehaviour,behaviour,0.01883778
semantic,43,sem_RecentlyCreatedRelationship,context,0.01671910
semantic,44,beh_BurstActivityBehaviour,behaviour,0.01599061
semantic,45,sem_IntraCustomerTransfer,context,0.01442949
semantic,46,sem_HighRiskJurisdictionExposure,context,0.01304063
semantic,47,scn_TreasuryCycling,scenario,0.01142231
semantic,48,sem_PassThroughAccount,context,0.01048003
semantic,49,sem_VirtualAssetExposure,context,0.00899407
semantic,50,beh_DormantAccountActivation,behaviour,0.00411622
semantic,51,beh_InsufficientBehaviouralHistory,behaviour,0.00372748
semantic,52,sem_NoEstablishedBaseline,context,0.00165912
semantic,53,beh_TransitBehaviour,behaviour,0.00139265
semantic,54,beh_CollectionBehaviour,behaviour,0.00060518
semantic,55,sem_UnexpectedLargeTransfer,context,0.00053742
semantic,56,beh_FanInCollection,behaviour,0.00023176
semantic,57,beh_CircularMoneyMovement,behaviour,0.00021847
semantic,58,beh_LiquidityBalancingBehaviour,behaviour,0.00010200
semantic,59,scn_CollectThenForward,scenario,0.00006988
semantic,60,beh_ShellCompanyBehaviour,behaviour,0.00004723
semantic,61,sem_CollectionNode,context,0.00002525
semantic,62,sem_LayeringChainSegment,context,0.00000542
semantic,63,scn_DistributionRun,scenario,0.00000156
semantic,64,sem_BookkeepingAccount,context,0.00000000
semantic,65,sem_CoverageGap,context,0.00000000
semantic,66,beh_FanOutDistribution,behaviour,0.00000000
semantic,67,beh_SettlementHubBehaviour,behaviour,0.00000000
semantic,68,beh_HighVelocityLayering,behaviour,0.00000000
semantic,69,beh_RelationshipGrowthBehaviour,behaviour,0.00000000
semantic,70,beh_RoutinePayrollBehaviour,behaviour,0.00000000
semantic,71,beh_PayrollOperatorBehaviour,behaviour,0.00000000
semantic,72,beh_MoneyMuleBehaviour,behaviour,0.00000000
semantic,73,scn_LayeringAttempt,scenario,0.00000000
semantic,74,scn_DormancyAfterOutflow,scenario,0.00000000
raw_plus_semantic,1,payment_format_code,raw,2.66288356
raw_plus_semantic,2,pair_prior_count,raw,1.98664056
raw_plus_semantic,3,sem_EstablishedRelationship,context,0.76745447
