semantic_feature,group,constant,max_abs_pearson_r,closest_raw_feature,r
lifecycle_observed_events,lifecycle,0,0.9999999109859111,originator_prior_count,0.9999999109859111
lifecycle_distinct_counterparties,lifecycle,0,0.9999517734801373,originator_prior_count,0.9999517734801373
beh_RapidLayeringBehaviour,behaviour,0,0.9973179334910229,from_bank_code,0.9973179334910229
sem_NonInformativeNovelty,context,0,0.9934403396256444,new_beneficiary,0.9934403396256444
sem_DistributionNode,context,0,0.9904240722658734,from_bank_code,0.9904240722658734
beh_CashConcentrationBehaviour,behaviour,0,0.9814379355820814,from_bank_code,0.9814379355820814
sem_NormalOperationalBurst,context,0,0.9785801919176922,from_bank_code,0.9785801919176922
lifecycle_buckets_active,lifecycle,0,0.969312701159986,from_bank_code,0.969312701159986
beh_RelationshipCollapseBehaviour,behaviour,0,0.9612028490236085,from_bank_code,0.9612028490236085
beh_DistributionBehaviour,behaviour,0,0.9335821397963517,from_bank_code,0.9335821397963517
sem_UnscaledValue,context,0,0.8737333833989487,new_beneficiary,0.8737333833989487
sem_NoEstablishedBaseline,context,0,0.8696666586474527,new_beneficiary,0.8696666586474527
sem_ValueRegime,context,0,0.8426584668089092,new_beneficiary,-0.8426584668089092
sem_TempoRegime,context,0,0.8106306850435584,new_beneficiary,-0.8106306850435584
sem_CounterpartyRegime,context,0,0.7604386194056386,from_bank_code,0.7604386194056386
sem_EstablishedRelationship,context,0,0.7493745797747376,new_beneficiary,-0.7493745797747376
role_confidence,role,0,0.7355108891584898,from_bank_code,0.7355108891584898
beh_InsufficientBehaviouralHistory,behaviour,0,0.7063663468282859,new_beneficiary,0.7063663468282859
sem_InternalBookEntry,context,0,0.6920937085866207,same_bank,0.6920937085866207
evidence_unqualified_topics,evidence,0,0.6666474977238842,from_bank_code,0.6666474977238842
evidence_risk_count,evidence,0,0.6484128413255991,from_bank_code,0.6484128413255991
beh_SupplierSettlementBehaviour,behaviour,0,0.6342491958997272,new_beneficiary,-0.6342491958997272
lifecycle_idle_minutes,lifecycle,0,0.627380057562008,new_beneficiary,0.627380057562008
evidence_mitigation_count,evidence,0,0.6003572655349695,new_beneficiary,-0.6003572655349695
sem_CurrencyConversionTransfer,context,0,0.5931479286219217,same_bank,0.5931479286219217
lifecycle_horizons_filled,lifecycle,0,0.5902848993921291,new_beneficiary,-0.5902848993921291
sem_CrossJurisdictionTransfer,context,0,0.5807153165336916,payment_currency_code,-0.5807153165336916
sem_BehaviourRegimeShift,context,0,0.5034816789366734,pair_prior_count,0.5034816789366734
beh_UnexpectedBusinessCycle,behaviour,0,0.48968346381252015,pair_prior_count,0.48968346381252015
evidence_effective_risk,evidence,0,0.4774854361637211,from_bank_code,0.4774854361637211
role_code,role,0,0.47358240143361435,from_bank_code,0.47358240143361435
evidence_strongest_risk,evidence,0,0.4717266439387353,from_bank_code,0.4717266439387353
sem_VirtualAssetExposure,context,0,0.4382615678152296,originator_prior_mean_log_amount,-0.4382615678152296
evidence_conflict_count,evidence,0,0.3935381710519366,same_bank,0.3935381710519366
sem_RoutineValueTransfer,context,0,0.3488090627930794,new_beneficiary,-0.3488090627930794
scn_TreasuryCycling,scenario,0,0.3058000646831072,same_bank,0.3058000646831072
sem_ExpectedHighValueTransfer,context,0,0.29688514998792875,log_amount_paid,0.29688514998792875
beh_BurstActivityBehaviour,behaviour,0,0.28607505129873984,pair_prior_count,0.28607505129873984
lifecycle_age_minutes,lifecycle,0,0.27736580958838386,hour,0.27736580958838386
role_transition_count,role,0,0.27014475913007296,pair_prior_count,0.27014475913007296
scn_NormalConsumerBehaviour,scenario,0,0.26651347898636685,from_bank_code,-0.26651347898636685
role_tenure_minutes,role,0,0.22872541711258046,from_bank_code,0.22872541711258046
beh_MoneyAccumulationBehaviour,behaviour,0,0.22448922518290682,originator_prior_mean_log_amount,-0.22448922518290682
sem_IntraCustomerTransfer,context,0,0.22223588632408517,originator_prior_mean_log_amount,-0.22223588632408517
