model,attribution,group,absolute,share
semantic,catboost_importance,behaviour,8.312534,0.083125
semantic,catboost_importance,context,48.141022,0.481410
semantic,catboost_importance,evidence,9.707412,0.097074
semantic,catboost_importance,lifecycle,22.469126,0.224691
semantic,catboost_importance,role,10.295437,0.102954
semantic,catboost_importance,scenario,1.074468,0.010745
semantic,catboost_importance,_semantic_total,100.000000,1.000000
semantic,catboost_importance,_raw_total,0.000000,0.000000
raw_plus_semantic,catboost_importance,behaviour,4.811288,0.048113
raw_plus_semantic,catboost_importance,context,15.401982,0.154020
raw_plus_semantic,catboost_importance,evidence,4.387409,0.043874
raw_plus_semantic,catboost_importance,lifecycle,10.880614,0.108806
raw_plus_semantic,catboost_importance,raw,60.690165,0.606902
raw_plus_semantic,catboost_importance,role,3.388635,0.033886
raw_plus_semantic,catboost_importance,scenario,0.439907,0.004399
raw_plus_semantic,catboost_importance,_semantic_total,39.309835,0.393098
raw_plus_semantic,catboost_importance,_raw_total,60.690165,0.606902
raw,catboost_importance,raw,100.000000,1.000000
raw,catboost_importance,_semantic_total,0.000000,0.000000
raw,catboost_importance,_raw_total,100.000000,1.000000
semantic,mean_abs_shap,behaviour,0.575958,0.072095
semantic,mean_abs_shap,context,5.105749,0.639109
semantic,mean_abs_shap,evidence,0.593596,0.074303
semantic,mean_abs_shap,lifecycle,1.143954,0.143194
semantic,mean_abs_shap,role,0.521808,0.065317
semantic,mean_abs_shap,scenario,0.047797,0.005983
semantic,mean_abs_shap,_semantic_total,7.988862,1.000000
semantic,mean_abs_shap,_raw_total,0.000000,0.000000
raw_plus_semantic,mean_abs_shap,behaviour,0.475236,0.043690
raw_plus_semantic,mean_abs_shap,context,1.893567,0.174083
raw_plus_semantic,mean_abs_shap,evidence,0.449715,0.041344
raw_plus_semantic,mean_abs_shap,lifecycle,0.796612,0.073236
raw_plus_semantic,mean_abs_shap,raw,6.890247,0.633447
raw_plus_semantic,mean_abs_shap,role,0.330124,0.030350
raw_plus_semantic,mean_abs_shap,scenario,0.041880,0.003850
raw_plus_semantic,mean_abs_shap,_semantic_total,3.987135,0.366553
raw_plus_semantic,mean_abs_shap,_raw_total,6.890247,0.633447
raw,mean_abs_shap,raw,10.720497,1.000000
raw,mean_abs_shap,_semantic_total,0.000000,0.000000
raw,mean_abs_shap,_raw_total,10.720497,1.000000
