model,rank,feature,group,catboost_importance
semantic,1,sem_EstablishedRelationship,context,19.249710
semantic,2,lifecycle_idle_minutes,lifecycle,8.910120
semantic,3,sem_ValueRegime,context,5.018777
semantic,4,sem_NonInformativeNovelty,context,4.982865
semantic,5,lifecycle_buckets_active,lifecycle,4.279378
semantic,6,role_tenure_minutes,role,4.262314
semantic,7,lifecycle_age_minutes,lifecycle,3.320807
semantic,8,evidence_effective_risk,evidence,3.319818
semantic,9,role_transition_count,role,3.029053
semantic,10,beh_SupplierSettlementBehaviour,behaviour,2.936340
semantic,11,evidence_mitigation_count,evidence,2.884284
semantic,12,sem_TempoRegime,context,2.544421
semantic,13,sem_FirstContact,context,2.525879
semantic,14,sem_CrossJurisdictionTransfer,context,2.263408
semantic,15,lifecycle_horizons_filled,lifecycle,2.119765
semantic,16,lifecycle_observed_events,lifecycle,2.099879
semantic,17,sem_CashInstrumentSettlement,context,1.927392
semantic,18,role_confidence,role,1.835227
semantic,19,sem_CounterpartyRegime,context,1.772800
semantic,20,lifecycle_distinct_counterparties,lifecycle,1.739175
semantic,21,beh_DistributionBehaviour,behaviour,1.600152
semantic,22,sem_BehaviourRegimeShift,context,1.448628
semantic,23,sem_RoutineValueTransfer,context,1.422220
semantic,24,sem_ExpectedHighValueTransfer,context,1.338022
semantic,25,evidence_strongest_risk,evidence,1.247683
semantic,26,sem_RecentlyCreatedRelationship,context,1.239277
semantic,27,role_code,role,1.168843
semantic,28,scn_NormalConsumerBehaviour,scenario,0.939992
semantic,29,evidence_risk_count,evidence,0.852740
semantic,30,beh_RelationshipCollapseBehaviour,behaviour,0.736936
semantic,31,evidence_unqualified_topics,evidence,0.712494
semantic,32,evidence_conflict_count,evidence,0.690394
semantic,33,sem_CurrencyConversionTransfer,context,0.613841
semantic,34,beh_PassThroughBehaviour,behaviour,0.549585
semantic,35,beh_RapidLayeringBehaviour,behaviour,0.499061
semantic,36,beh_UnexpectedBusinessCycle,behaviour,0.423299
semantic,37,beh_BurstActivityBehaviour,behaviour,0.404385
semantic,38,sem_InternalBookEntry,context,0.380273
semantic,39,beh_CashConcentrationBehaviour,behaviour,0.378901
semantic,40,beh_ExpectedBusinessCycle,behaviour,0.360282
semantic,41,beh_MoneyAccumulationBehaviour,behaviour,0.312990
