model,attribution,group,absolute,share
raw,catboost_importance,raw,100.00000000,1.00000000
semantic,catboost_importance,behaviours,4.16759712,0.04167597
semantic,catboost_importance,evidence,1.68513491,0.01685135
semantic,catboost_importance,lifecycle,29.65656014,0.29656560
semantic,catboost_importance,roles,7.18104824,0.07181048
semantic,catboost_importance,scenarios,0.43292852,0.00432929
semantic,catboost_importance,semantic_objects,56.87673107,0.56876731
raw_plus_semantic,catboost_importance,behaviours,1.20597035,0.01205970
raw_plus_semantic,catboost_importance,evidence,0.49548817,0.00495488
raw_plus_semantic,catboost_importance,lifecycle,10.36744682,0.10367447
raw_plus_semantic,catboost_importance,raw,74.68606500,0.74686065
raw_plus_semantic,catboost_importance,roles,2.94684014,0.02946840
raw_plus_semantic,catboost_importance,scenarios,0.08701832,0.00087018
raw_plus_semantic,catboost_importance,semantic_objects,10.21117119,0.10211171
raw,mean_abs_shap,raw,1.89470464,1.00000000
semantic,mean_abs_shap,behaviours,0.08057144,0.04109469
semantic,mean_abs_shap,evidence,0.03425622,0.01747206
semantic,mean_abs_shap,lifecycle,0.59447079,0.30320410
semantic,mean_abs_shap,roles,0.16945181,0.08642726
semantic,mean_abs_shap,scenarios,0.00256332,0.00130740
semantic,mean_abs_shap,semantic_objects,1.07931554,0.55049450
raw_plus_semantic,mean_abs_shap,behaviours,0.02570576,0.01103907
raw_plus_semantic,mean_abs_shap,evidence,0.01161098,0.00498621
raw_plus_semantic,mean_abs_shap,lifecycle,0.30360010,0.13037792
raw_plus_semantic,mean_abs_shap,raw,1.69722998,0.72885784
raw_plus_semantic,mean_abs_shap,roles,0.10470656,0.04496515
raw_plus_semantic,mean_abs_shap,scenarios,0.00180986,0.00077723
raw_plus_semantic,mean_abs_shap,semantic_objects,0.18395270,0.07899658
