model,rank,feature,group,catboost_importance
raw,1,raw_amount,raw,16.78491544
raw,2,raw_transaction_dt,raw,11.06124680
raw,3,raw_purchaser_email_domain,raw,10.10579565
raw,4,raw_card_identity,raw,9.47753526
raw,5,raw_product_channel,raw,9.24057184
raw,6,raw_recipient_email_domain,raw,8.54648866
raw,7,raw_card_type,raw,8.54066585
raw,8,raw_billing_region,raw,6.25943012
raw,9,raw_billing_country,raw,4.73026872
raw,10,raw_device_type,raw,4.12124352
raw,11,raw_dist1,raw,3.04688926
raw,12,raw_network,raw,2.92140574
raw,13,raw_client_signature,raw,2.54264425
raw,14,raw_has_identity,raw,1.92025000
raw,15,raw_dist2,raw,0.70064889
semantic,1,sem_UnverifiedDeviceContext,semantic_objects,24.84996965
semantic,2,lifecycle_age_minutes,lifecycle,12.77604646
semantic,3,sem_ChannelRegime,semantic_objects,9.88938062
semantic,4,sem_DeviceRegime,semantic_objects,8.85830034
semantic,5,lifecycle_distinct_devices,lifecycle,6.36346465
semantic,6,lifecycle_idle_minutes,lifecycle,5.16888804
semantic,7,role_transition_count,roles,4.10512067
semantic,8,sem_SharedClientSignatureExposure,semantic_objects,3.91368664
semantic,9,sem_ExpectedHighValueSpend,semantic_objects,3.16225579
semantic,10,lifecycle_observed_events,lifecycle,2.83045909
semantic,11,sem_TempoRegime,semantic_objects,2.29648967
semantic,12,lifecycle_buckets_active,lifecycle,2.11075222
semantic,13,role_tenure_minutes,roles,1.61514984
semantic,14,beh_TrustedDeviceBehaviour,behaviours,1.56881452
semantic,15,beh_NormalSpendingBehaviour,behaviours,1.50888983
semantic,16,sem_EstablishedDeviceRelationship,semantic_objects,1.49491166
semantic,17,sem_RoutineSpendingAmount,semantic_objects,1.07433112
semantic,18,role_confidence,roles,0.88775432
semantic,19,beh_ExpectedVelocityBehaviour,behaviours,0.57950417
semantic,20,role_code,roles,0.57302341
semantic,21,evidence_risk_count,evidence,0.47071632
semantic,22,evidence_mitigation_count,evidence,0.45980603
semantic,23,sem_UnexpectedBillingRegion,semantic_objects,0.42526355
semantic,24,lifecycle_horizons_filled,lifecycle,0.40694967
semantic,25,sem_AmountRegime,semantic_objects,0.40290872
semantic,26,scn_RoutineConsumerPattern,scenarios,0.39654121
semantic,27,evidence_strongest_risk,evidence,0.32357008
semantic,28,beh_VelocityBurstBehaviour,behaviours,0.30856037
semantic,29,sem_MinimalTestAmount,semantic_objects,0.18477119
semantic,30,sem_FirstDeviceContact,semantic_objects,0.16166145
semantic,31,evidence_unqualified_topics,evidence,0.15574355
semantic,32,evidence_effective_risk,evidence,0.15510819
semantic,33,sem_TempoRegimeShift,semantic_objects,0.12427823
semantic,34,evidence_conflict_count,evidence,0.12019072
semantic,35,beh_InsufficientCardHistory,behaviours,0.10285396
semantic,36,beh_UnexpectedSpendingBehaviour,behaviours,0.07448651
semantic,37,sem_NonInformativeDeviceNovelty,semantic_objects,0.02761760
semantic,38,beh_DormantCardReactivation,behaviours,0.02448776
semantic,39,scn_DormancyAfterBurst,scenarios,0.01992938
semantic,40,scn_DeviceRotationRun,scenarios,0.01071122
semantic,41,sem_RecentlyLinkedDevice,semantic_objects,0.00904790
semantic,42,scn_DeviceTakeoverPattern,scenarios,0.00574671
semantic,43,sem_UnexpectedSpendingAmount,semantic_objects,0.00185693
semantic,44,sem_NoEstablishedCardHistory,semantic_objects,0.00000000
semantic,45,sem_UnscaledSpendingAmount,semantic_objects,0.00000000
semantic,46,sem_CoverageGap,semantic_objects,0.00000000
semantic,47,beh_CardTestingBehaviour,behaviours,0.00000000
semantic,48,beh_DeviceRotationBehaviour,behaviours,0.00000000
