model,rank,feature,group,mean_abs_shap
raw,1,raw_amount,raw,0.31176464
raw,2,raw_card_type,raw,0.30238053
raw,3,raw_recipient_email_domain,raw,0.26224314
raw,4,raw_product_channel,raw,0.25261824
raw,5,raw_device_type,raw,0.14788027
raw,6,raw_purchaser_email_domain,raw,0.14612919
raw,7,raw_card_identity,raw,0.08553908
raw,8,raw_transaction_dt,raw,0.07042687
raw,9,raw_billing_country,raw,0.06893972
raw,10,raw_dist1,raw,0.06789815
raw,11,raw_network,raw,0.06360951
raw,12,raw_billing_region,raw,0.04935213
raw,13,raw_has_identity,raw,0.04024426
raw,14,raw_client_signature,raw,0.02164184
raw,15,raw_dist2,raw,0.00403705
semantic,1,sem_UnverifiedDeviceContext,semantic_objects,0.43684646
semantic,2,sem_DeviceRegime,semantic_objects,0.26318983
semantic,3,lifecycle_idle_minutes,lifecycle,0.17453902
semantic,4,lifecycle_distinct_devices,lifecycle,0.14011792
semantic,5,sem_ChannelRegime,semantic_objects,0.13451205
semantic,6,lifecycle_age_minutes,lifecycle,0.11473436
semantic,7,sem_ExpectedHighValueSpend,semantic_objects,0.09260857
semantic,8,lifecycle_observed_events,lifecycle,0.08754381
semantic,9,lifecycle_buckets_active,lifecycle,0.07069445
semantic,10,sem_TempoRegime,semantic_objects,0.06864462
semantic,11,role_tenure_minutes,roles,0.06198915
semantic,12,beh_NormalSpendingBehaviour,behaviours,0.05902275
semantic,13,role_transition_count,roles,0.05615845
semantic,14,role_confidence,roles,0.04418222
semantic,15,sem_RoutineSpendingAmount,semantic_objects,0.04045170
semantic,16,evidence_risk_count,evidence,0.01343045
semantic,17,sem_SharedClientSignatureExposure,semantic_objects,0.01316824
semantic,18,sem_EstablishedDeviceRelationship,semantic_objects,0.01138349
semantic,19,beh_TrustedDeviceBehaviour,behaviours,0.00936531
semantic,20,evidence_strongest_risk,evidence,0.00787654
semantic,21,beh_VelocityBurstBehaviour,behaviours,0.00777166
semantic,22,sem_AmountRegime,semantic_objects,0.00758526
semantic,23,role_code,roles,0.00712198
semantic,24,lifecycle_horizons_filled,lifecycle,0.00684123
semantic,25,sem_UnexpectedBillingRegion,semantic_objects,0.00659625
semantic,26,evidence_conflict_count,evidence,0.00561044
semantic,27,evidence_mitigation_count,evidence,0.00454943
semantic,28,scn_RoutineConsumerPattern,scenarios,0.00235621
semantic,29,evidence_unqualified_topics,evidence,0.00190203
semantic,30,sem_TempoRegimeShift,semantic_objects,0.00165850
semantic,31,beh_UnexpectedSpendingBehaviour,behaviours,0.00156293
semantic,32,beh_InsufficientCardHistory,behaviours,0.00131240
semantic,33,sem_FirstDeviceContact,semantic_objects,0.00124752
semantic,34,beh_ExpectedVelocityBehaviour,behaviours,0.00120664
semantic,35,evidence_effective_risk,evidence,0.00088734
semantic,36,sem_RecentlyLinkedDevice,semantic_objects,0.00053779
semantic,37,sem_NonInformativeDeviceNovelty,semantic_objects,0.00053561
semantic,38,sem_MinimalTestAmount,semantic_objects,0.00033115
semantic,39,beh_DormantCardReactivation,behaviours,0.00032976
semantic,40,scn_DeviceTakeoverPattern,scenarios,0.00008371
semantic,41,scn_DeviceRotationRun,scenarios,0.00007525
semantic,42,scn_DormancyAfterBurst,scenarios,0.00004815
semantic,43,sem_UnexpectedSpendingAmount,semantic_objects,0.00001851
semantic,44,sem_NoEstablishedCardHistory,semantic_objects,0.00000000
semantic,45,sem_UnscaledSpendingAmount,semantic_objects,0.00000000
semantic,46,sem_CoverageGap,semantic_objects,0.00000000
semantic,47,beh_CardTestingBehaviour,behaviours,0.00000000
semantic,48,beh_DeviceRotationBehaviour,behaviours,0.00000000
semantic,49,beh_CompromisedCardBehaviour,behaviours,0.00000000
semantic,50,scn_CardTestingRun,scenarios,0.00000000
raw_plus_semantic,1,raw_card_type,raw,0.29833903
raw_plus_semantic,2,raw_amount,raw,0.28373527
raw_plus_semantic,3,raw_recipient_email_domain,raw,0.24458093
raw_plus_semantic,4,raw_product_channel,raw,0.18322688
raw_plus_semantic,5,lifecycle_idle_minutes,lifecycle,0.16270961
raw_plus_semantic,6,raw_purchaser_email_domain,raw,0.13608472
raw_plus_semantic,7,raw_device_type,raw,0.10875434
